index,title,image_url
2096,Pork Tenderloin Cubano ,https://littlesunnykitchen.com/wp-content/uploads/2021/08/Cuban-Sandwich-2.jpg
2097,Farmhouse Herbed Stuffing ,https://i.pinimg.com/736x/cd/51/a1/cd51a1e0fd8e6e3a85fd566d6c13daaa--farmhouse-stuffing.jpg
2098,"Spaghetti with Cauliflower, Green Olives, and Almonds ",https://assets.epicurious.com/photos/560dd815f3a00aeb2f1d29b2/1:1/w_600%2Ch_600/236936.jpg
2099,Baked Minty Rice with Feta and Pomegranate Relish ,https://assets.epicurious.com/photos/5665fa987b01a0643144a610/1:1/w_2560%2Cc_limit/baked-minty-rice-with-feta-and-pomegranate.jpg
2100,Brisket With Pomegranate-Walnut Sauce and Pistachio Gremolata ,https://www.usa-beef.org/wp-content/uploads/2020/12/shutterstock_2084951602-scaled.jpg
2101,Broccoli and Cheddar Skillet Flan ,https://www.skinnytaste.com/wp-content/uploads/2023/03/Broccoli-Cheddar-Soup-8.jpg
2102,Tuna and Vegetable Fettuccine with Lemon Breadcrumbs ,https://seriousfitness.com.au/wp-content/uploads/2018/07/11699.jpg
2103,"Red, White, and Blue Ice Cream Cake ",https://assets.epicurious.com/photos/54b0986b1cc76a014cfabc50/1:1/w_2560%2Cc_limit/51108000_ice-cream-cake_1x1.jpg
2104,Swiss Chard Gratin ,https://i.pinimg.com/originals/38/16/cb/3816cbbd940ff4401fbf93df600262f4.jpg
2105,Traditional Fish Stock ,https://assets.epicurious.com/photos/57a8a405de966cd27ad748f4/1:1/w_2560%2Cc_limit/traditional-fish-stock.jpg
2106,Apple and Dried-Cherry Lattice Pie ,https://cuisinedefrance.ie/wp-content/uploads/2022/07/835701_Cherry-Apple-Lattice-min.jpg
2107,Apple Pancakes with Cinnamon Butter ,https://i2.wp.com/www.everylastbite.com/wp-content/uploads/2018/04/DSC_0504.jpg?resize=2%2C2&ssl=1
2108,"Potato, Celery and Ham Salad with Tarragon ",http://www.twoofakindcooks.com/wp-content/uploads/2022/09/Tangy-Potato-Salad-with-Celery-and-Mustard_close-683x1024.png
2109,Butternut Squash Gnocchi with Duck Confit and Swiss Chard ,https://i.pinimg.com/originals/cf/9a/6f/cf9a6f6bec0f04d70177377955007864.jpg
2110,Summer Crudités with Bagna Cauda ,https://assets.epicurious.com/photos/55d4c66154b469aa41d145f7/1:1/w_2560%2Cc_limit/56389893_summer-crudites_6x4.jpg
2111,Orecchiette with Sausage and Red Pepper Sauce ,https://www.recipetineats.com/wp-content/uploads/2020/06/Orecchiette-Sausage-in-Creamy-Tomato-Sauce_5.jpg?resize=71
2112,Veal Chops with Sherry Gastrique and Roasted Peperonata ,https://www.amenuforyou.com/wp-content/uploads/2017/05/grilled-veal-chop-1493252780-79714.jpeg
2113,Vacherins with Raspberry Sorbet and Mixed Berry-Cardamom Sauce ,https://i.pinimg.com/736x/2b/8d/bd/2b8dbd75f2d8bb001793d247a8e380e4.jpg
2114,Lentil and Rice Salad ,https://images.ctfassets.net/uw7yiu2kuigc/7aYyvfpZJJkgZKvDmHrYc/859ac1e039e0a9fac11e22222f35d83c/Rice-and-Lentil-Salad-Lead.jpg
2115,Smoked Salmon Chowder ,https://www.skinnytaste.com/wp-content/uploads/2019/02/Smoked-Salmon-Chowder-9.jpg
2116,Beef Shank and Sausage Ragù with Whole Grain Spaghetti ,https://3.bp.blogspot.com/_Naih3aOFJdo/S58LJ7IKGqI/AAAAAAAAASs/Iunb6lGIF74/s400/beef_ragu.jpg
2117,Cucumber Avocado Soup ,http://www.picklesnhoney.com/wp-content/uploads/2012/03/Chilled-Cucumber-Avocado-Soup-2.jpg
2118,Kabocha Squash and Pork Stir-Fry ,https://www.jessicagavin.com/wp-content/uploads/2020/10/roasted-kabocha-squash-4.jpg
2119,Pommes Anna ,https://www.recipe30.com/wp-content/uploads/2018/10/Pommes-Anna.jpg
2120,Pasta Paella with Clams and Spicy Sausage ,https://jawnsicooked.com/wp-content/uploads/2022/11/Spicy-italian-sausage-pasta-24-scaled-e1692661913810.jpg
2121,Collard Greens Slaw ,https://i.pinimg.com/originals/6b/bd/93/6bbd93138ba3660505c210de24947c44.jpg
2122,Cream of Cope's Corn Soup with Shrimp and Wild Mushrooms ,https://www.indianhealthyrecipes.com/wp-content/uploads/2021/08/sweet-corn-soup-recipe.jpg
2123,Spice-Rubbed Lamb Chops with Roasted Tomatoes ,https://i.pinimg.com/736x/0f/a5/f3/0fa5f3d4f6fe250992ee2daf8f2f5036.jpg
2124,Duck with Walnut Sherry Vinaigrette ,http://tappecue.net/sessionImages/recipes/duck-with-walnut-sherry-vinaigrette-233794.jpg
2125,Roasted Salmon with Cranberry-Mustard Sauce ,https://www.cookingclassy.com/wp-content/uploads/2018/09/baked-salmon-honey-mustard-22.jpg
2126,Rotelle with Mushroom Sauce ,https://i.pinimg.com/originals/af/5e/ac/af5eac39113d5da21d86fae82d474346.png
2127,Spicy Roasted Vegetable Soup with Toasted Tortillas ,https://assets.epicurious.com/photos/560ea0a77b55306961bfee98/1:1/w_600%2Ch_600/106297.jpg
2128,Honey-Hazelnut Financiers ,https://assets.epicurious.com/photos/54ac40a36529d92b2c039eb5/1:1/w_2560%2Cc_limit/51234850_hazelnut-financiers_1x1.jpg
2129,Glögg ,https://true-north-kitchen.com/wp-content/uploads/2020/12/swedish-glogg-2.jpg
2130,Honey-Peach Tart with Vanilla Ice Cream ,https://i0.wp.com/tarasmulticulturaltable.com/wp-content/uploads/2017/08/Honey-Peach-Ice-Cream-1-of-4.jpg?w=867&ssl=1
2131,Fresh Pumpkin Purée ,https://www.culinaryhill.com/wp-content/uploads/2020/10/Fresh-pumpkin-puree-Culinary-Hill-02.jpg
2132,Feta Walnut Date Cigars ,"https://assets.epicurious.com/photos/582612291bdbd60e2541c3fc/16:9/w_1280,c_limit/feta-walnut-date-cigars-111116.jpg"
2133,Double-Decker Chocolate and Cherry-Raspberry Birthday Pie ,http://candyfunhouse.com/cdn/shop/products/Candyfunhouse_cadbury_doubleDecker_54g-Side-jpg-1.jpg?v=1679971504
2134,Miso-Turmeric Dressing ,https://i.pinimg.com/originals/97/df/0f/97df0f403deaeb864d52f5cde9771940.jpg
2135,South American Fried Chicken ,https://forktospoon.com/wp-content/uploads/2021/09/KFC-Original-Recipe-Chicken-Copycat.jpg
2136,Spicy Black Bean Cakes ,https://images.media-allrecipes.com/userphotos/7955170.jpg
2137,Roast Chicken with Lemon and Tarragon Butter ,https://finefoodsblog.com/wp-content/uploads/2021/05/tarragon-roast-chicken-1200.jpg
2138,"Sliced Filet Mignon with Fava Beans, Radishes, and Mustard Dressing ","https://assets.epicurious.com/photos/54baa41f2a4b69f8647e79bd/16:9/w_1280,c_limit/Sliced-Filet-Mignon-with-Fava-Beans-6x4.jpg"
2139,"Grilled Eggplant, Sandwiches with Lemon Aïoli, Feta, and Mint ",https://hungryhappens.net/wp-content/uploads/2022/03/JPEG-image-12-1485x2048.jpeg
2140,Grilled Lamb with Lima Bean Skordalia ,https://static.onecms.io/wp-content/uploads/sites/43/2022/09/26/137917-simple-grilled-lamb-chops-ddmfs-3X4-1541.jpg
2141,"Pea, Radish, and Cabbage Slaw ","https://assets.epicurious.com/photos/54ac15676529d92b2c0372cf/16:9/w_1280,c_limit/51238450_pea-radish-cabbage-slaw_1x1.jpg"
